,title,contents
148,Covid vaccine: Thailand decides to mix jabs as cases spike,"Thailand has changed its vaccine policy to mix China's Sinovac with the AstraZeneca vaccine in a bid to boost protection. The decision comes after hundreds of medical workers caught Covid despite being fully vaccinated with Sinovac.Instead of two Sinovac shots, people will now receive the AstraZeneca vaccine after their first Sinovac shot. Health workers already fully vaccinated with Sinovac will also receive a third booster from a different vaccine.This can be either the AstraZeneca vaccine, or an mRNA vaccine like Pfizer/BioNTech. This third dose will be given three to four weeks after their second Sinovac jab, said the country's National Infectious Disease Committee on Monday. AstraZeneca is currently the only other vaccine available in the country, with Pfizer/BioNTech shots donated by the US set to arrive soon. Thailand first received Sinovac vaccines from China and began giving shots to its health workers in February. On Sunday, the health ministry said out of more than 677,000 medical staff who were fully vaccinated with Sinovac, 618 were infected between April and July.  One nurse has died and one medical staff is still in critical condition. According to a study published in the New England Journal of Medicine showing results from Chile, Sinovac has an efficacy rate of 65.9% against Covid-19, is 87.5% effective at preventing hospitalisation and 86.3% effective at preventing death. Thailand is currently in the midst of a spike of new infections, reporting a record high of 9,418 on Sunday. The death toll for the previous day stood at 91, also a record number.Concerns over the efficacy of the Chinese vaccine amid rising cases have sharply driven demand for other shots offered by some private clinics. Last week, one clinic selling the US Moderna vaccine on an online shopping platform saw its offer sold out within minutes. The Phyathai Hospital offered 1,800 vaccination slots for a single Moderna shot at 1,650 Thai baht ($50, £36) via Shopee.Overall, Thailand has seen more than 345,000 confirmed cases of Covid-19 and nearly 2,800 deaths since the beginning of the pandemic in 2020, according to figures collated by Johns Hopkins University from around the world. There are concerns that the spike in cases in many South East Asian countries is due to the spread of the more infectious Delta variant, first discovered in India. "
149,Thailand's plans to fully re-open in doubt as virus cases spike,"Thailand's plan to re-open the country to foreign tourists in about 100 days has been thrown into doubt as it sees a new spike in Covid cases. Some 7,000 cases and 75 deaths were reported on Thursday, a daily record for the country.Thailand had last year seen success in combating the virus, with cases at one point dwindling to single digits.But a spike in cases, linked to the highly infectious Delta strain, means its plans might have to be put on hold.The rise in cases have put the country's medical system under strain - with reports suggesting that many hospitals have already run out of beds for critically ill patients. Authorities announced earlier this week that they planned to convert a terminal at its airport into a field hospital with an intensive-care unit. The hospital will provide at least 5,000 beds.Once a bustling holiday hotspot, Thailand's tourist industry has been hit especially hard by the pandemic. Last month, Prime Minister Prayut Chan-ocha set a 120-day target for the country to be fully reopened, with all businesses back to normal and freedom for vaccinated tourists to travel across the country. He said Thailand could not ""wait for a time when everyone is fully vaccinated with two shots, or for when the world is free of the virus, to reopen"". Earlier last week, Thailand opened its doors to its first batch of quarantine-free tourists in Phuket. Around 2,000 travellers have entered there since the ""Phuket Sandbox"" - the island's scheme to revive tourism - began. On Wednesday, Phuket reported its first overseas Covid-19 case - a male traveller from the United Arab Emirates.Most of the country's cases, however, can be traced to the capital Bangkok. Experts say the only way out of this is a lockdown. Stricter curbs have been placed on the city's restaurants and construction sites, but a full lockdown has so far been avoided. ""A strict lockdown is the only way out,"" Dr Anan Jongkaewwattana, a director of the research unit at the National Centre for Genetic Engineering and Biotechnology, told Bloomberg. ""If this situation continues, the Thai outbreak will be worse than Indonesia's on a per capita basis, with as many as 20,000 cases per day in the next few months,"" he said. But some businesses say they cannot endure further lockdowns. ""If [my restaurant] closes down, what will I do? Will I have to give up everything I've built and lay off all my staff?"" one restaurant owner told the BBC. The country is also struggling on its vaccination front - failing to meet its monthly vaccination target of 10 million doses. Earlier last week, a senior health official admitted that only 5-6 million doses of the AstraZeneca jab would be available in Thailand. The director of the National Vaccine Institute said the country would have to secure vaccines from other manufacturers in order to meet its goal.According to the BBC's Jonathan Head in Bangkok, there is growing public anger over the government's failure to order enough vaccines - with vaccines having run out in many areas. Around 15% of Thailand's population has received at least one vaccine dose - with 4.3% of that total having received both shots. "
150,Thailand: Phuket welcomes first international tourists,"Thailand has welcomed its first quarantine-free tourists back to the island of Phuket as the country tries to reboot its tourism industry.About 250 people, mainly from the Middle East, were expected to arrive on four flights on Thursday as part of the ""Phuket Sandbox"" scheme.None of the arrivals need to quarantine, but they cannot travel to the mainland within 14 days.It is hoped the scheme will bring in $278m (£201m) in the next three months.But that is still far short of Thailand's pre-pandemic revenue from tourism, which accounts for about a fifth of the country's economy. According to news agency Reuters, Thailand lost around $50bn when visitor numbers plunged following the start of the Covid-19 outbreak in 2020.If successful, the country will roll out the scheme to other islands, with borders scheduled to open more fully in October.""We know that there is a risk,"" Prime Minister Prayuth Chan-ocha told reporters after arriving on the island himself. ""But we have to accept the risk so Thai people can make a living.""But this attempt to revive tourism comes as Thailand battles to get its latest Covid outbreak under control. On Thursday, it reported a record 57 deaths and 5,533 cases. Two Delta variant cases have also been found on Phuket so far.But the island has been prioritised for vaccination, and some 70% of its residents were due to be inoculated before the first tourists arrived on planes from Israel, Abu Dhabi and Qatar.The holidaymakers, who need to arrive vaccinated and provide proof of a negative test before entry to Phuket, will themselves undergo screening procedures before being allowed out onto the island. Their movements will then be monitored by an app they must download on arrival. Those who want to travel more widely in Thailand will be able to do so after 14 days, so long as they have three negative coronavirus tests."
151,Young Thai workers race to reopen deserted beaches,"Thailand depends on its tourism sector, and normally welcomes 14 million visitors annually. But Covid-19 saw visitor numbers plunge to just four million last year. In the key resort of Phuket, mass vaccinations are being organised ahead of this year's tourist season. As part of our My Work, My Future season, young Thais in Phuket share their hopes and fears about future employment in the country's tourist industry."
152,US returns ancient stone carvings to Thailand,"Two ancient sandstone carvings, believed to have been stolen from Thailand and smuggled to the US during the Vietnam War, are being repatriated. The carvings were originally lintels - support beams - in temples dating back to the 10th Century and feature the Hindu deities Indra and Yama. For decades they have been on display in San Francisco's Asian Art Museum. They are due to go on display at the National Museum in the Thai capital, Bangkok. The San Francisco museum said it always wanted to return the beams to Thailand, but disputed experts' allegations that they had been stolen.""We are very pleased that these lintels are going back to their country of origin,"" said Jay Xu, the museum director, in a statement.The repatriation followed a three-year investigation by the US Department of Homeland Security.Agents learned that the relics had been illegally imported, making them forfeitable under federal law, CBS reported. In February, the US reached a settlement with the city of San Francisco which agreed to forfeit the items.Thai Fine Arts Department Director General Prateep Pengtako told AFP news agency that the lintels showed the influence of the ancient Khmer Kingdom, which was based in modern-day Cambodia.A guide to Africa's 'looted treasures'Who should own indigenous art?How UK museums are responding to Black Lives MatterAberdeen University to repatriate 'looted' Nigerian sculpture""The lintels were assessed to be taken away some time between 1958 and 1969. In particular, 1965-66 saw a lot of Thai artefacts go missing,"" he said.It is believed the artefacts came from Prasat Khao Lon historical sanctuary, in Sa Kaeo province, and Prasat Nong Hong, in Buri Ram province, the Bangkok Post reported.A handover ceremony took place in Los Angeles earlier this week between US authorities and the Royal Thai Consulate General.""The return of these antiquities holds great importance in terms of history, archaeology, and culture to the Thai government and the Thai people,"" the Thai foreign ministry said at the time. ""It is believed that both of the sacred lintels were illegally exported from Thailand around the 1960s during the Vietnam War.""In recent years, other countries have also seen calls to repatriate stolen artefacts.In 2014 Australia agreed to return to India two ancient Hindu statues allegedly stolen from temples while last year France agreed to return to Senegal and Benin items that were looted during colonial times."
153,Thai cave rescuer to tell inside story of mission,"A diver who played a key role in the rescue of 12 boys from a flooded cave in Thailand is writing a book about how the mission unfolded. John Volanthen was the first person to make contact with the young members of a football team and their coach who became trapped underground in 2018.He used the latest lockdown to write a book on the inside story of the rescue.""I hope it will provide inspiration and hopefully useful information,"" said the diver, who is from Bristol. The Wild Boars football team, aged 11 to 16, became trapped 4km (2.5 miles) inside in the Tham Luang caves on 23 June 2018 after heavy rainfall.Mr Volanthen was among the experts enlisted to bring the boys to safety.""When we surfaced we saw lights and could smell something, we could smell humanity,"" he told the BBC. ""One by one the boys starting walking down a mud bank and we had found the team lost for ten days.""My feeling was that it was completely unbelievable they were all alive. ""The scenarios in my mind were of finding all of them dead or having to separate the living from the dead, so it was a feeling of disbelief and pure joy,"" he said.Mr Volanthen was awarded the George Cross for bravery and as well as his book, a movie of the rescue mission is currently in production. Director Ron Howard is currently filming in Australia, with Irish actor Colin Farrell playing Mr Volanthen.""I'm extremely proud that Ron Howard has picked up on the story and is shooting a movie,"" Mr Volanthen said.""I'm being played by Colin Farrell who I have to admit I had not heard of, but I've spoken to him since and I'm honoured that he's happy to play me. ""I said before that I wanted Rowan Atkinson to play my part. ""I suggested that to Ron Howard and he looked horrified and said: 'We're not making that sort of movie',"" Mr Volanthen added.Follow BBC West on Facebook, Twitter and Instagram. Send your story ideas to: bristol@bbc.co.uk "
154,Thailand: Record number of Covid cases as prison clusters grow,"Thailand has seen its highest number of daily Covid cases, with the majority of the new infections stemming from the country's overcrowded prisons. Some 6,853 prisoners make up for 9,635 of Monday's new cases - more than double the previous daily record.Thailand admitted there were growing clusters in jails after several prominent activists tested positive.The country has managed to keep coronavirus numbers low for the last year, but saw a huge spike last month.A total of 111,082 cases have been reported since the beginning of the pandemic. The previous highest daily total was 4,887 on 13 May, according to Johns Hopkins University.It also reported 25 new deaths on Monday, bringing the total number of fatalities to 614.""Many people warned the Thai authorities that they needed to act proactively to avoid such a situation, but it seems they got caught sleeping at the switch,"" said Human Rights Watch's Asia director in a statement released earlier this month.According to the Thai government, almost half of those tested across eight prisons were found to have Covid-19 - 10,748 out of 24,537 inmates. In the worst-hit prison, in the northern province of Chiang Mai, some 61% of inmates tested positive. But a Corrections Department official told reporters at a press conference on Monday that not much could be done ""in reality"". ""Even though there's a command from the Corrections Department director-general for everyone to wear a mask 24 hours a day, in reality it can't be done because (inmates) would have to take a shower and eat. Some are taken out to courts and have to eat there. No one can eat with their mask on,"" said deputy director-general Dr Veerakit Harnparipan. ""What has happened is something beyond the Corrections Department's capacity because we can't turn down new inmates,"" Dr. Veerakit added.However, the Corrections Department added that 12,000 vaccine doses had been secured for inmates and they were trying to procure more. The quarantine period for new prisoners has now been increased to 21 days and testing has been ramped up.Just last week, most of the country's cases had stemmed from just two prisons outside the capital Bangkok. The Ministry of Justice had said then that these two prisons had to constantly accept new inmates. According to a report by news agency AFP, only 10 cases were reported in Bangkok Remand Prison on 25 April. This figure jumped to 1,960 last week.Human Rights Watch says there are some 380,000 inmates in Thailand's 143 prisons, adding that there were all ""at grave risk from Covid-19 outbreaks"". It called on Thai authorities to ""ensure prisoners and detainees have access to adequate protective measures"", as well as to ""swiftly reduce overcrowding by releasing people who do not pose a serious and concrete risk to others.""However, Thai authorities said the number of inmates had been reduced to 310,000 due to overcrowding alleviation policies. The latest outbreak comes days after Thailand announced plans to allow restaurants to resume dine-in services in Bangkok, though an official added that this would be capped at 25%. However, entertainment venues still remain closed and malls nationwide close at 21:00 local time. Thailand has so far administered 2.2 million vaccine doses to frontline workers and those in at-risk groups. Before the current outbreak largely appeared to have kept Covid-19 in check, recording a low death toll for a nation of 70 million people that shares porous borders with four countries, including Myanmar."
155,Myanmar: Journalists who fled coup face Thailand deportation,"Three journalists and two activists who fled from Myanmar are set to go on trial in Thailand on charges of illegally entering the country. If found guilty they are likely to be deported back to Myanmar, where they say their lives would be in danger. The trial was to begin on Tuesday in Chiang Mai but was postponed for another six days. Since the military coup on 1 February, dozens of journalists have been arrested and charged in Myanmar. More than 700 people have been killed by security forces and thousands have been detained.There have since been multiple reports of detainees being tortured while in custody, with some dying from their injuries.How Myanmar coup caused its healthcare to vanishThe TikTok loving teen and others killed in MyanmarCould sanctions on Myanmar's military ever work?The group of five, who have yet to be named by Thai authorities, were detained by police in the city of Chiang Mai on Sunday. They are three journalists from well-known broadcaster Democratic Voice of Burma (DVB), and two activists.Charged with illegal entry into Thailand, they could face immediate deportation if found guilty. Like many media organisations, DVB has been banned from operating inside Myanmar, also referred to as Burma.The broadcaster said it ""strongly urges the Thai authorities to not deport them back to Burma, as their life will be in serious danger if they were to return"".DVB also urged the United National High Commissioner for Refugees in Bangkok and the international community to help. With a common border stretching more than 2,000km (1,200 miles), Thailand is a natural haven for those fleeing violence and repression in Myanmar. Many dissident media organisations based themselves in Thailand during the long periods of military rule in the past, and since the coup in February dozens of journalists and activists have once again crossed the border to escape arrest. Until now the Thai authorities have mostly turned a blind eye to these fugitives, many without passports or visas.The country has accommodated large numbers of refugees in the past, often for many years. But it has not signed the United Nations Convention and Protocol on Refugees, and has at times deported groups of them even when they faced almost certain arrest, or worse, at the hands of their own governments.Human Rights Watch (HRW) on Tuesday called on Thailand to release the group and not send them back to Myanmar. ""They will face certain arrest and persecution"" in Myanmar, Asia Director Brad Adams said in a statement. ""The junta's hostile actions towards DVB were made clear when it revoked the DVB's media licence in March. Just last week, the junta criminalised ownership of satellite dishes, in part to prevent DVB's satellite broadcasts from reaching the Burmese people.""The Foreign Correspondents Club of Thailand also called for the five to be granted  the right to remain in the country.""The world is watching what the Thai authorities do in this important case for press freedom in Myanmar and the region, and for the protection of those fleeing the junta's brutal crackdown on independent media and civil society.""Myanmar coup: What is happening and why?Street tales from Myanmar: 'Take care of our baby if I die'According to the FCCT, more than 70 journalists are among the 5,000 people arrested in Myanmar since the February coup, adding that most are in detention at a time when there have been widespread reports of torture and extrajudicial killings.The Assistance Association for Political Prisoners (AAPP) monitoring group says 50 journalists are still in detention and half of those have been prosecuted. A few foreign journalists have also been arrested.Myanmar's military has justified the February takeover by alleging there had been widespread fraud during a general election late last year which had returned elected leader Aung San Suu Kyi and her National League for Democracy party (NLD) to power.The military promised instead that it would hold ""free and fair"" elections once the state of emergency is over."
156,Thailand court allows minister to keep post despite drug conviction,"Thailand's top court has allowed a government minister to keep his job, dismissing a bid to disqualify him over a past conviction for drug trafficking in Australia.Thammanat Prompao was jailed for four years in 1994 for his role in a heroin smuggling case.Opposition politicians urged Thailand's constitutional court to declare the minister ""unfit for office"".But in a ruling on Wednesday, the court rejected the complaint.The court said it did not recognise Mr Thammanat's conviction because the verdict was delivered in Australia, a foreign country.""The verdict of any state only has effect in that state,"" the court said. Therefore, Mr Thammanat ""is not prohibited from holding office"" under Thailand's constitution, the court said.The ruling meant that Mr Thammanat could remain a member of parliament and keep his post as a cabinet minister in Prime Minister Prayuth Chan-ocha's government.The conviction was brought to wider public attention in 2019 after Mr Thammanat's appointment as deputy agriculture minister.Mr Thammanat has denied reports of his imprisonment for conspiring to import 3.2kg (7lbs) of heroin - worth about AU$4.1m ($3.1m; £2.2m) - to Australia.The former army captain, 55, said he had been caught with flour, not heroin.But Mr Thammanat came under scrutiny again after two Australian newspapers, The Age and The Sydney Morning Herald, reported details of his conviction, citing clippings of old news stories.The Sydney Morning Herald said Mr Thammanat was arrested in 1993, served four years in prison and was deported immediately on release.BBC Thai also obtained court records from Australian authorities that confirmed Mr Thammanat's conviction and prison sentence.Mr Thammanat began his political career in Thailand at the end of the 1990s. A former captain in the Royal Thai Army, he built connections with General Prayuth Chan-ocha, who came to power after a military coup in 2014.Mr Thammanat has described himself as a key figure in forming the coalition government led by Mr Prayuth. Elections in March 2019 saw Mr Prayuth confirmed in office with the support of the Palang Pracharath Party, a conservative party with close ties to the military.But since early 2020, Mr Prayuth's government has been buffeted by youth-led protests triggered by the disqualification of the opposition Future Forward Party (FFP). The protests have since morphed into demands for reform of Thailand's constitution and monarchy, which is revered and protected by strict defamation laws in the country."
157,Milk Tea Alliance: Twitter creates emoji for pro-democracy activists,"Twitter has launched a new emoji for the ""Milk Tea Alliance"" - a movement uniting Asian pro-democracy activists.The alliance has brought together anti-Beijing protesters in Hong Kong and Taiwan with pro-democracy campaigners in Thailand and Myanmar.The emoji, a white cup set against three different shades of a popular regional tea, marks a year since the #MilkTeaAlliance hashtag started.One target is Chinese dominance, and Beijing says it is ""full of biases"".The alliance has united campaigners pushing for greater democracy.It emerged last year from a Twitter dispute between Chinese nationalists and a young Thai actor and his girlfriend, who were accused of supporting democracy in Hong Kong and Taiwanese independence.The movement gained popularity among pro-democracy activists in Thailand who are calling for reform of the monarchy and protesters in Hong Kong who accuse Beijing of harming the territory's democracy.Use of the hashtag spiked again this February after a military coup in Myanmar led to mass protests.""We have seen more than 11 million tweets featuring the #MilkTeaAlliance hashtag over the past year,"" Twitter said in a post on the platform.The emoji will automatically show up when users post the #MilkTeaAlliance hashtag.Twitter said: ""During times of civil unrest or violent crackdowns, it is more important than ever for the public to have access to the #OpenInternet for real-time updates, credible information, and essential services.""The announcement is a big moment for the movement, Netiwit Chotiphatphaisal, a leading Thai activist, told the BBC.""It's very good that Twitter has recognised what we have fought for for many years,"" he said. ""We have to fight not only our dictators but also with Chinese dominance.""""The movement is happening not only online but offline. It's made a big impact.""Prominent activists from the region have celebrated the announcement online. A post on Hong Kong activist Joshua Wong's Twitter account used the emoji, writing: ""Always in solidarity, no matter how hard the times.""Previously, Twitter has created emojis for the #MeToo and #BlackLivesMatter movements. The Chinese government has criticised the Milk Tea Alliance.The movement has ""consistently held anti-China positions, and is full of biases against China,"" Chinese foreign ministry spokesman Zhao Lijian told a press conference on Thursday, Bloomberg reported.Why young people are protesting in Thailand'We have no weapons - so I fight with a pen'Although Twitter is banned in mainland China, its officials have used the platform to counter international criticism of Beijing's policies."
158,Moment Thai monk is freed from cave,A Thai monk had to be rescued after being trapped in a flooded cave for four days.
159,Buddhist monk freed from flooded cave in Thailand after four days,"Thai rescue workers have freed a Buddhist monk from a flooded cave, four days after he went inside to meditate.The monk, who was on a pilgrimage, entered the cave in Thailand's Phitsanulok province on Saturday, rescuers say.But an unseasonal rainstorm struck the area on Sunday, causing water levels to rise and flood the cave.A team of 17 divers from a local rescue unit helped to bring the monk out to safety on Wednesday.The monk, Phra Ajarn Manas, 46, makes a pilgrimage to the Phra Sai Ngam cave each year ""to sit in contemplation"", a local rescue unit said in a Facebook post (in Thai).But when he did not return after the heavy rain, residents in the area alerted authorities.Rescuers went in to find him on Tuesday, but had to call off the search due to rising water levels. Thai cave rescue: How the boys were savedMissing Thai boys found alive in cavesThe unit said they had no contact with the monk because there was no phone signal inside the cave and the area could only be accessed by divers. They were concerned he may be ""exhausted or unconscious because of not having food at all"". A team of 17 divers managed to reach the monk on Wednesday morning after the rain stopped.""At 11.30am we successfully rescued Phra Manas from the cave,"" the rescue unit announced on their Facebook page.A video posted by rescuers shows the monk fitted with a diving mask making a 12-metre swim underwater.He was was led out of the cave to safety and received treatment in an ambulance, footage on social media shows.The incident has similarities to the 2018 ordeal of the Wild Boars football team, when 12 boys and their football coach became stuck in a flooded cave in the northern town of Chiang Rai.Thai Navy Seals and an international team of cave divers managed to rescue the boys and their coach from the cave."
160,The Myanmar beauty queen standing up to the military,"Speeches by beauty pageant contestants rarely make headlines.But when Han Lay, Miss Grand Myanmar, spoke out last week against alleged atrocities committed by her country's military, her speech turned heads. ""Today in my country Myanmar ... there are so many people dying,"" she said at the Miss Grand International 2020 event in Thailand. ""Please help Myanmar. We need your urgent international help right now.""A little over a month ago, Han Lay, who is 22, was on the streets of Yangon, Myanmar's largest city, protesting against the military.The unrest in Myanmar began two months ago when the military seized control of the country, undoing a democratic election in which Aung San Suu Kyi's National League for Democracy (NLD) party won by a landslide.When tens of thousands of people took to the streets nationwide to protest the coup, the military used water cannon to disperse them. After a week, the response escalated to rubber bullets and then live ammunition.The deadliest day of the conflict came last Saturday, when more than 100 people were killed. A local monitoring group puts the overall death toll at more than 500. According to Save the Children, 43 of those killed were children.Myanmar coup: What is happening and why?'More than 40 children killed' in Myanmar unrestThe 'fallen stars' from Myanmar's deadliest dayHan Lay, a psychology student at the University of Yangon, decided to use the pageant as a platform to speak out about her homeland on an international stage.""In Myanmar, journalists are detained ... so I decided to speak out,"" she told the BBC in a phone interview from Bangkok. She is concerned now that her two-minute speech could have put her on the radar of the military. She said she had decided to stay put in Thailand for at least the next three months.Han Lay said she knew before she left for Thailand that she would be potentially putting herself at risk and would need to stay there for a while.""I am so worried about my family and my security because I spoke out a lot about the military and the situation in Myanmar. In Myanmar everyone knows there are limits on speaking out about what is happening,"" she said.""My friends told me to not come back to Myanmar."" Her fears are not unfounded. Security forces issued arrest warrants last week for 18 celebrities, social media ""influencers"" and two journalists under a law against material ""intended to cause a member of the armed forces to mutiny or disregard their duty"", state media reported. All of them had spoken out against the coup.Han Lay said she had not been contacted by the military or any other officials after her speech, but she said she had been on the receiving end of threatening comments on her social media accounts. ""On social media they threatened me, saying when I go back to Myanmar ... prison is waiting for me,"" she said. She doesn't know who is behind the threatening remarks. The vast majority of social media comments had been supportive, she said.Many of Han Lay's fellow students who she protested with in the first weeks after the coup had been jailed, she said. According to the Assistance Association for Political Prisoners (AAPP) activist group, at least 2,500 people have been arrested in the military crackdown.And one of her friends was killed, Han Lay said.""He wasn't even protesting. He went to a restaurant to drink some coffee one evening and someone shot him,"" she said. Han Lay's family are safe, she said, but communication with them is sporadic because the internet is being regularly cut in Myanmar. She asked that the BBC did not publish the name of her home town, to protect them.Han Lay's public political remarks, including direct criticism of the Myanmar's military and calls in an interview with fans on the pageant's official channel to ""win the revolution"", are not common among pageant contestants, who often prefer to stay apolitical. Speaking before the competition, Lyv Chili, Miss Grand Cambodia, called on fans to stay out of politics.But Han Lay sees speaking out as her ""duty"", she said. She called Ms Suu Kyi her ""greatest inspiration"". The ousted democratic leader was charged last week with violating Myanmar's official secrets act, a charge which carries a prison term of up to 14 years.Han Lay previously planned on training to be a flight attendant after graduating, but she said she was unsure now about which path to take. Some have tried to persuade her to enter politics, she said, but she doesn't think it's for her. In the meantime, she plans to keep using her voice to speak out.""These are crimes against humanity, that's why we want the UN to take action urgently,"" she said. ""We want our leader back and we want real democracy back."""
161,'Karen people fleeing Myanmar told to return',"Thousands of people from the Karen, or Kayin, state of Myanmar have fled to Thailand in recent days following airstrikes by Myanmar's military.But those that have crossed into Thailand are now being told to go home, a spokesperson for the Karen Peace Support Network said.The spokesperson, whose identity is being concealed for security purposes, told BBC World News that people were afraid to return and had been sleeping by a river without any support.""In the morning the Thai military has again come down to the riverbank and told them - you all have to go back to the other side because there is no more fighting,"" the spokesperson said.The UN's envoy to Myanmar, also known as Burma, has previously warned of an ""imminent bloodbath"" as the military crackdown in the country continues.A local monitoring group has said that 536 people have died since February's military coup."
162,AstraZeneca: Thailand delays vaccine rollout over blood clot fears,"Thailand has delayed the rollout of the AstraZeneca's Covid-19 vaccine over reports of blood clots, despite there being no evidence of a link to the jab.The country's prime minister was due to kick off the country's vaccination drive by getting the vaccine on Friday. This has now been cancelled. The delay comes after a number of countries, including Denmark and Norway, suspended the use of the jab.Around 5 million Europeans have already received the AstraZeneca vaccine.Thailand's public health ministry said it made the decision because the country had not been ""hard hit"" by the virus and it had other vaccines it could rely on in the meantime.There have been about 30 cases in Europe of ""thromboembolic events"" - or developing blood clots - after  the vaccine was administered.On Friday, Bulgaria became the latest country to suspend use of the vaccine, and it asked for a written statement from the European Medicines Agency (EMA) accounting for the jab's safety.The EMA said on Thursday that there was no indication the jab was causing the blood clots, adding that its ""benefits continue to outweigh its risks"". AstraZeneca said the drug's safety had been studied extensively in clinical trials.Other countries, including Portugal, Australia, Mexico and the Philippines, have said they are continuing their roll-out.'No indication' Oxford jab linked to blood clots How well does the Oxford vaccine work?""Though the quality of AstraZeneca is good, some countries have asked for a delay,"" Piyasakol Sakolsatayadorn, an adviser for the country's Covid-19 vaccine committee, told reporters at a news conference. ""We will delay [as well]."" However, Thai public health ministry officials clarified that the batch of AstraZeneca vaccines is different from those distributed in Europe, adding that blood clot problems had not been commonly detected amongst Asians. The first batch of 117,300 doses of AstraZeneca vaccines arrived in Thailand on 24 Feb, together with 200,000 doses of China's Coronavac vaccine.More than 30,000 people in Thailand have already received Coronavac since the country kicked off its vaccination programme on 28 February. Thailand says it will continue with its Coronavac rollout. In the UK, the Medicines and Healthcare products Regulatory Agency (MHRA) said there was no evidence the vaccine had caused problems, and people should still go and get vaccinated when asked to do so. More than 11 million doses of the AstraZeneca vaccine have now been administered across the UK, according to the MHRA.Portugal has said that the benefits of the jab continued to outweigh any risk it poses to patients, and it would continue to use the vaccine. It said it identified no causal link between receiving the dose and developing blood clots.Australia, which has already been sent 300,000 doses of the AstraZeneca vaccine, has been explaining its decision to continue with the AstraZeneca jab.""At the moment the advice very clearly from the doctors is that this is a safe vaccine and we want the rollout to continue. Cool heads need to prevail,"" said Home Affairs Minister Peter Dutton. The Philippines health department has also said that there is ""no reason"" to halt the vaccination there.South Korea also appears to be going ahead with its rollout, though some have voiced concerns. Around 785,000 vaccine doses have arrived there already.Authorities in the country recently said that  the deaths of eight people within days of receiving the vaccine had no link to the jab. They later found there was no link between the vaccine and the deaths. However, Denmark, Norway and Iceland have temporarily suspended its rollout.Italy and Austria, meanwhile, have stopped using certain batches of the drug as a precautionary measure.In an earlier statement, the EMA said Denmark's decision was a ""precautionary measure [taken] while a full investigation is ongoing into reports of blood clots in people who received the vaccine, including one case in Denmark where a person died"".The AstraZeneca vaccine, which was developed with the University of Oxford, is made from a weakened version of a common cold virus (known as an adenovirus) from chimpanzees. It has been modified to look more like coronavirus - although it can't cause illness.Once injected, it teaches the body's immune system how to fight the real virus, should it need to."
163,Prayuth Chan-ocha: Thai PM sprays sanitiser on reporters,"Thai Prime Minister Prayuth Chan-ocha surprised journalists at a recent press conference when he chose an unusual way to deflect their questions.When asked about a cabinet reshuffle, he picked up a bottle of sanitiser and began spraying reporters.The retired army general has been in power since a 2014 military coup, and has a history of acting controversially at press events.In the past he was caught on camera patting a reporter's head and tugging his ear, and once brought out a life-sized cardboard cutout of himself to ""answer"" questions."
164,Hunger Games salute: The symbol of protest against Asia’s military regimes,"As thousands of protesters in Myanmar continue to demonstrate against the military coup, one hand gesture has emerged as the movement's defining symbol - the three finger salute.Popularised by the Hollywood film series and books The Hunger Games, the salute - which also has roots in the Scout movement - has been adopted widely in Thailand as well in activists' protests against their military government.But what does the gesture really mean, and what does its journey from the big screen to real life tell us about the power of protest symbols?Video by Tessa Wong. Additional footage by BBC Burmese, Danny Bull and Nik Millard."
165,Thai navy sailors play with cats after rescue from sinking boat,"A group of Thai sailors has taken in four cats after rescuing them from a burning ship.The navy sailors had been sent to inspect the sinking ship when they spotted the trapped felines and decided to enact a daring rescue.Safely back on shore, the sailors got to know their new friends.Read more: Thai navy rescue four cats from burning ship"
166,Thai navy rescue four cats from burning ship,"Thai navy sailors have rescued four ginger cats that were abandoned on a burning ship in the Andaman Sea.The human crew had already been evacuated, but the navy soon discovered a few forgotten members when they were sent to check the site for oil spills.A sailor swam out to the capsized boat, before putting the cats on his back to take them to safety.Reportedly, the felines suffered no injuries and are healthy.They are now being cared for by their rescuers at their command post, said Reuters news agency. Missing cat rescued from half-way down chimneyOn Tuesday, the Phamonsin Nava 10 fishing boat had caught fire and started to sink, about 13km (eight miles) off the paradise island of Koh Adang. All eight of the ship's crew members had jumped off the vessel and into the sea, and were rescued by a passing fishing ship, said Thai newspaper The Nation. When the navy was called in to inspect the site, they discovered the cats huddled together on a wooden beam.""I used my camera to zoom in to the boat, and I saw one or two cats popping their heads out,"" said First-Class Petty Officer Wichit Pukdeelon of the navy's air and coastal defence division.A Facebook post on the rescue received more than 2,500 comments on Wednesday praising the crew."
